,0
1445,0000712771
1446,0001130310
1447,0001017413
1448,0000883902
1449,0001284812
1450,0001304421
1451,0001729427
1452,0001847903
1453,0001835268
1454,0001757097
1455,0001847986
1456,0001842952
1457,0000911147
1458,0001787640
1459,0001070412
1460,0001803599
1461,0001050377
1462,0001467808
1463,0001482981
1464,0001412486
1465,0001334325
1466,0001345126
1467,0001692415
1468,0001659494
1469,0000927628
1470,0000803164
1471,0001622229
1472,0001270436
1473,0000021510
1474,0000021535
1475,0001679788
1476,0000317540
1477,0000887343
1478,0001455863
1479,0001829615
1480,0001267565
1481,0001050797
1482,0001689873
1483,0001517228
1484,0001563190
1485,0001178727
1486,0001553023
1487,0001223389
1488,0001823000
1489,0000711404
1490,0001857853
1491,0001829953
1492,0000933136
1493,0001163165
1494,0001347652
1495,0001842659
1496,0001088856
1497,0001839341
1498,0001474167
1499,0000909832
1500,0001024305
1501,0001385867
1502,0001651562
1503,0001837160
1504,0001466538
1505,0000016875
1506,0001345105
1507,0001841137
1508,0001221029
1509,0001873964
1510,0001848410
1511,0000016732
1512,0000928022
1513,0001479247
1514,0000701347
1515,0001545851
1516,0001672909
1517,0001106644
1518,0001087294
1519,0000019745
1520,0001392326
1521,0001834584
1522,0001807389
1523,0001530721
1524,0000900075
1525,0001369568
1526,0001320461
1527,0000814676
1528,0001169445
1529,0000889609
1530,0000906345
1531,0001827899
1532,0001498233
1533,0001828608
1534,0001717457
1535,0001383650
1536,0000025445
1537,0001053706
1538,0001595097
1539,0001619856
1540,0001609253
1541,0001828962
1542,0000025475
1543,0001213037
1544,0001702123
1545,0001807794
1546,0001851230
1547,0000721693
1548,0001034962
1549,0001034957
1550,0001356093
1551,0000033934
1552,0001866175
1553,0000849395
1554,0001818212
1555,0001060822
1556,0001108205
1557,0000023194
1558,0001761696
1559,0001100682
1560,0001108524
1561,0001410098
1562,0000799850
1563,0001768267
1564,0001119769
1565,0001658247
1566,0001656472
1567,0001334036
1568,0000017843
1569,0001674416
1570,0001743759
1571,0000881787
1572,0001357671
1573,0001576427
1574,0001662774
